Gyrohypnus atratus,53
Gabrius splendidulus,99
Tasgius ater,35
Heterothops praevius,56
Atrecus longiceps,29
Philonthus ebeninus,31
Gabrius exiguus,15
Philonthus umbratilis,184
Ocypus nitens,67
Quedius auricomus,63
Philonthus debilis,100
Lathrobium pallidum,47
Medon apicalis,62
Leptacinus pusillus,32
Gabrius piliger,7
Quedius infuscatus,20
Philonthus corruscus,23
Sunius melanocephalus,118
Sunius bicolor,94
Acylophorus glaberrimus,60
Ochthephilum fracticorne,189
Quedius microps,107
Gabrius breviventer,88
Paederus fuscipes,143
Tetartopeus terminatus,225
Dinothenarus pubescens,41
Philonthus parvicornis,45
Philonthus micantoides,20
Atrecus affinis,46
Heterothops minutus,32
Philonthus albipes,154
Staphylinus caesareus,26
Philonthus ventralis,58
Philonthus succicola,224
Lobrathium multipunctum,113
Quedius longicornis,77
Quedius nigrocaeruleus,20
Ontholestes murinus,56
Othius angustus,92
Medon ripicola,82
Tetartopeus quadratus,175
Ocypus brunnipes,58
Scopaeus minimus,8
Philonthus nitidicollis,12
Philonthus furcifer,40
Philonthus laminatus,174
Quedius cinctus,73
Gyrohypnus angustatus,45
Lithocharis nigriceps,84
Bisnius parcus,35
Philonthus salinus,67
Gabrius osseticus,65
Euryporus picipes,40
Medon castaneus,45
Philonthus intermedius,75
Platydracus chalcocephalus,9
Paederus riparius,281
Rugilus similis,9
Scopaeus sulcicollis,87
Gauropterus fulgidus,72
Xantholinus laevigatus,32
Nudobius lentus,72
Achenium humile,43
Ochthephilum collare,11
Philonthus concinnus,72
Pseudomedon obscurellus,146
Quedius scitus,46
Bisnius puella,38
Philonthus corvinus,40
Philonthus rufipes,62
Tasgius winkleri,9
Platydracus stercorarius,50
Philonthus jurgans,40
Neobisnius villosulus,38
Bisnius nitidulus,142
Philonthus splendens,175
Quedius xanthopus,102
Heterothops binotatus,79
Quedius simplicifrons,37
Quedius nigriceps,49
Quedius scintillans,92
Philonthus nitidus,164
Philonthus spinipes,6
Lathrobium geminum,90
Ontholestes tessellatus,39
Lathrobium impressum,274
Scopaeus minutus,98
Quedius boopoides,34
Bisnius pseudoparcus,25
Creophilus maxillosus,48
Gyrohypnus fracticornis,77
Cafius xantholoma,294
Ocypus olens,28
Philonthus alpinus,21
Philonthus varians,67
Velleius dilatatus,26
Philonthus punctus,44
Philonthus decorus,226
Philonthus tenuicornis,139
Philonthus sanguinolentus,85
Philonthus micans,92
Rugilus geniculatus,1
Ocypus ophthalmicus,34
Philonthus politus,255
Quedius levicollis,47
Ocypus fuscatus,40
Quedius fuliginosus,73
Quedius puncticollis,81
Philonthus rectangulus,84
Bisnius fimetarius,300
Ocypus aeneocephalus,45
Philonthus confinis,15
Quedius fulgidus,27
Quedius semiaeneus,48
Quedius lateralis,63
Leptacinus formicetorum,44
Lathrobium pallidipenne,3
Xantholinus gallicus,14
Quedius semiobscurus,44
Bisnius subuliformis,68
Philonthus cognatus,351
Tetartopeus rufonitidus,8
Gabronthus thermarum,26
Lathrobium longulum,187
Astenus pulchellus,128
Gabrius appendiculatus,63
Rugilus rufipes,248
Acylophorus wagenschieberi,42
Quedius picipes,64
Astenus lyonessius,151
Tasgius melanarius,56
Tasgius morsitans,46
Xantholinus tricolor,71
Phacophallus parumpunctatus,34
Philonthus mannerheimi,59
Xantholinus linearis,62
Astenus procerus,78
Gabrius trossulus,51
Quedius umbrinus,104
Quedius invreae,9
Ocypus picipennis,55
Philonthus longicornis,81
Lathrobium fulvipenne,245
Philonthus lepidus,64
Philonthus nigrita,59
Paederidus ruficollis,246
Philonthus fumarius,84
Rugilus erichsoni,156
Tasgius pedator,8
Neobisnius lathrobioides,152
Othius punctulatus,58
Xantholinus dvoraki,38
Gabrius nigritulus,131
Heterothops stiglundbergi,16
Gyrohypnus punctulatus,85
Quedius lucidulus,88
Philonthus atratus,170
Heterothops niger,46
Staphylinus dimidiaticornis,20
Astenus gracilis,95
Bisnius nigriventris,6
Othius subuliformis,58
Quedius curtipennis,37
Remus sericeus,124
Staphylinus erythropterus,40
Philonthus cruentatus,41
Philonthus pseudovarians,2
Paederus littoralis,192
Lathrobium castaneipenne,6
Quedius mesomelinus,78
Medon brunneus,82
Pseudomedon obsoletus,64
Bisnius cephalotes,175
Philonthus quisquiliarius,67
Lathrobium fovulum,145
Quedius brevis,40
Gabrius keysianus,43
Quedius molochinus,72
Emus hirtus,22
Neobisnius procerulus,6
Heterothops quadripunctulus,63
Tasgius globulifer,29
Quedius truncicola,22
Bisnius sordidus,253
Xantholinus longiventris,55
Scopaeus laevigatus,13
Quedius cruentus,98
Erichsonius cinerascens,183
Megalinus glabratus,38
Philonthus marginatus,166
Quedius maurus,54
Lithocharis ochracea,195
Quedius fumatus,80
Quedius maurorufus,87
Quedius fulvicollis,11
Lathrobium dilutum,14
Lathrobium rufipenne,114
Rugilus orbiculatus,298
Quedius brevicornis,69
Quedius suturalis,80
Gabrius austriacus,30
Platydracus fulvipes,38
Platydracus latebricola,28
Leptacinus intermedius,30
Lathrobium brunnipes,290
Quedius persimilis,60
Philonthus rubripennis,85
Leptacinus batychrus,112
Philonthus binotatus,23
Philonthus addendus,90
Quedius boops,37
Lathrobium elongatum,242
Quedius nemoralis,9
Philonthus carbonarius,358
Quedius nitipennis,82
Philonthus discoideus,100
Heterothops dissimilis,36
Astenus immacullatus,133
