Achenium humile,43
Acylophorus glaberrimus,60
Acylophorus wagenschieberi,42
Astenus gracilis,95
Astenus immacullatus,133
Astenus lyonessius,151
Astenus procerus,78
Astenus pulchellus,128
Atrecus affinis,46
Atrecus longiceps,29
Bisnius cephalotes,175
Bisnius fimetarius,300
Bisnius nigriventris,6
Bisnius nitidulus,142
Bisnius parcus,35
Bisnius pseudoparcus,25
Bisnius puella,38
Bisnius sordidus,253
Bisnius subuliformis,68
Cafius xantholoma,294
Creophilus maxillosus,48
Dinothenarus pubescens,41
Emus hirtus,22
Erichsonius cinerascens,183
Euryporus picipes,40
Gabrius appendiculatus,63
Gabrius austriacus,30
Gabrius breviventer,88
Gabrius exiguus,15
Gabrius keysianus,43
Gabrius nigritulus,131
Gabrius osseticus,65
Gabrius piliger,7
Gabrius splendidulus,99
Gabrius trossulus,51
Gabronthus thermarum,26
Gauropterus fulgidus,72
Gyrohypnus angustatus,45
Gyrohypnus atratus,53
Gyrohypnus fracticornis,77
Gyrohypnus punctulatus,85
Heterothops binotatus,79
Heterothops dissimilis,36
Heterothops minutus,32
Heterothops niger,46
Heterothops praevius,56
Heterothops quadripunctulus,63
Heterothops stiglundbergi,16
Lathrobium brunnipes,290
Lathrobium castaneipenne,6
Lathrobium dilutum,14
Lathrobium elongatum,242
Lathrobium fovulum,145
Lathrobium fulvipenne,245
Lathrobium geminum,90
Lathrobium impressum,274
Lathrobium longulum,187
Lathrobium pallidipenne,3
Lathrobium pallidum,47
Lathrobium rufipenne,114
Leptacinus batychrus,112
Leptacinus formicetorum,44
Leptacinus intermedius,30
Leptacinus pusillus,32
Lithocharis nigriceps,84
Lithocharis ochracea,195
Lobrathium multipunctum,113
Medon apicalis,62
Medon brunneus,82
Medon castaneus,45
Medon ripicola,82
Megalinus glabratus,38
Neobisnius lathrobioides,152
Neobisnius procerulus,6
Neobisnius villosulus,38
Nudobius lentus,72
Ochthephilum collare,11
Ochthephilum fracticorne,189
Ocypus aeneocephalus,45
Ocypus brunnipes,58
Ocypus fuscatus,40
Ocypus nitens,67
Ocypus olens,28
Ocypus ophthalmicus,34
Ocypus picipennis,55
Ontholestes murinus,56
Ontholestes tessellatus,39
Othius angustus,92
Othius punctulatus,58
Othius subuliformis,58
Paederidus ruficollis,246
Paederus fuscipes,143
Paederus littoralis,192
Paederus riparius,281
Phacophallus parumpunctatus,34
Philonthus addendus,90
Philonthus albipes,154
Philonthus alpinus,21
Philonthus atratus,170
Philonthus binotatus,23
Philonthus carbonarius,358
Philonthus cognatus,351
Philonthus concinnus,72
Philonthus confinis,15
Philonthus corruscus,23
Philonthus corvinus,40
Philonthus cruentatus,41
Philonthus debilis,100
Philonthus decorus,226
Philonthus discoideus,100
Philonthus ebeninus,31
Philonthus fumarius,84
Philonthus furcifer,40
Philonthus intermedius,75
Philonthus jurgans,40
Philonthus laminatus,174
Philonthus lepidus,64
Philonthus longicornis,81
Philonthus mannerheimi,59
Philonthus marginatus,166
Philonthus micans,92
Philonthus micantoides,20
Philonthus nigrita,59
Philonthus nitidicollis,12
Philonthus nitidus,164
Philonthus parvicornis,45
Philonthus politus,255
Philonthus pseudovarians,2
Philonthus punctus,44
Philonthus quisquiliarius,67
Philonthus rectangulus,84
Philonthus rubripennis,85
Philonthus rufipes,62
Philonthus salinus,67
Philonthus sanguinolentus,85
Philonthus spinipes,6
Philonthus splendens,175
Philonthus succicola,224
Philonthus tenuicornis,139
Philonthus umbratilis,184
Philonthus varians,67
Philonthus ventralis,58
Platydracus chalcocephalus,9
Platydracus fulvipes,38
Platydracus latebricola,28
Platydracus stercorarius,50
Pseudomedon obscurellus,146
Pseudomedon obsoletus,64
Quedius auricomus,63
Quedius boopoides,34
Quedius boops,37
Quedius brevicornis,69
Quedius brevis,40
Quedius cinctus,73
Quedius cruentus,98
Quedius curtipennis,37
Quedius fulgidus,27
Quedius fuliginosus,73
Quedius fulvicollis,11
Quedius fumatus,80
Quedius infuscatus,20
Quedius invreae,9
Quedius lateralis,63
Quedius levicollis,47
Quedius longicornis,77
Quedius lucidulus,88
Quedius maurorufus,87
Quedius maurus,54
Quedius mesomelinus,78
Quedius microps,107
Quedius molochinus,72
Quedius nemoralis,9
Quedius nigriceps,49
Quedius nigrocaeruleus,20
Quedius nitipennis,82
Quedius persimilis,60
Quedius picipes,64
Quedius puncticollis,81
Quedius scintillans,92
Quedius scitus,46
Quedius semiaeneus,48
Quedius semiobscurus,44
Quedius simplicifrons,37
Quedius suturalis,80
Quedius truncicola,22
Quedius umbrinus,104
Quedius xanthopus,102
Remus sericeus,124
Rugilus erichsoni,156
Rugilus geniculatus,1
Rugilus orbiculatus,298
Rugilus rufipes,248
Rugilus similis,9
Scopaeus laevigatus,13
Scopaeus minimus,8
Scopaeus minutus,98
Scopaeus sulcicollis,87
Staphylinus caesareus,26
Staphylinus dimidiaticornis,20
Staphylinus erythropterus,40
Sunius bicolor,94
Sunius melanocephalus,118
Tasgius ater,35
Tasgius globulifer,29
Tasgius melanarius,56
Tasgius morsitans,46
Tasgius pedator,8
Tasgius winkleri,9
Tetartopeus quadratus,175
Tetartopeus rufonitidus,8
Tetartopeus terminatus,225
Velleius dilatatus,26
Xantholinus dvoraki,38
Xantholinus gallicus,14
Xantholinus laevigatus,32
Xantholinus linearis,62
Xantholinus longiventris,55
Xantholinus tricolor,71
