Platydracus,84
Phacophallus,25
Lithocharis,197
Cafius,207
Ocypus,235
Tetartopeus,281
Leptacinus,155
Nudobius,51
Euryporus,28
Pseudomedon,149
Erichsonius,129
Gabronthus,19
Dinothenarus,29
Remus,88
Ontholestes,69
Achenium,31
Velleius,19
Othius,149
Atrecus,55
Paederus,433
Scopaeus,142
Rugilus,376
Megalinus,28
Tasgius,120
Quedius,1618
Gauropterus,51
Medon,192
Paederidus,15
Xantholinus,195
Gyrohypnus,185
Sunius,151
Acylophorus,72
Creophilus,35
Ochthephilum,142
Staphylinus,61
Lathrobium,1029
Gabrius,416
Astenus,414
Lobrathium,80
Bisnius,731
Emus,16
Neobisnius,135
Philonthus,3113
Heterothops,236
