Filename,Predictions
images_genus/Othius/Othius angustus_10.jpg,Sunius
images_genus/Othius/Othius angustus_11.jpg,Sunius
images_genus/Othius/Othius angustus_12.jpg,Sunius
images_genus/Othius/Othius angustus_13.jpg,Sunius
images_genus/Othius/Othius angustus_14.jpg,Sunius
images_genus/Othius/Othius angustus_15.jpg,Sunius
images_genus/Othius/Othius angustus_16.jpg,Sunius
images_genus/Othius/Othius angustus_17.jpg,Sunius
images_genus/Othius/Othius angustus_18.jpg,Sunius
images_genus/Othius/Othius angustus_19.jpg,Sunius
images_genus/Othius/Othius angustus_20.jpg,Sunius
images_genus/Othius/Othius angustus_21.jpg,Sunius
images_genus/Othius/Othius angustus_22.jpg,Sunius
images_genus/Othius/Othius angustus_23.jpg,Sunius
images_genus/Othius/Othius angustus_24.jpg,Sunius
images_genus/Othius/Othius angustus_25.jpg,Sunius
images_genus/Othius/Othius angustus_26.jpg,Sunius
images_genus/Othius/Othius angustus_9.jpg,Sunius
images_genus/Othius/Othius punctulatus_10.jpg,Sunius
images_genus/Othius/Othius punctulatus_11.jpg,Sunius
images_genus/Othius/Othius punctulatus_12.jpg,Sunius
images_genus/Othius/Othius punctulatus_13.jpg,Sunius
images_genus/Othius/Othius punctulatus_14.jpg,Sunius
images_genus/Othius/Othius punctulatus_15.jpg,Sunius
images_genus/Othius/Othius punctulatus_5.jpg,Sunius
images_genus/Othius/Othius punctulatus_6.jpg,Sunius
images_genus/Othius/Othius punctulatus_7.jpg,Sunius
images_genus/Othius/Othius punctulatus_8.jpg,Sunius
images_genus/Othius/Othius punctulatus_9.jpg,Sunius
images_genus/Othius/Othius subuliformis_10.jpg,Sunius
images_genus/Othius/Othius subuliformis_11.jpg,Sunius
images_genus/Othius/Othius subuliformis_12.jpg,Sunius
images_genus/Othius/Othius subuliformis_13.jpg,Sunius
